Team,Year,Season,Sport,Event,Medal
Hungary,1960,Summer,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Silver
Hungary,1964,Summer,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Gold
Soviet Union,1952,Summer,Rowing,Rowing Men's Coxed Eights,Silver
Russia,2004,Summer,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Silver
Russia,2008,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
Soviet Union,1988,Summer,Swimming,Swimming Men's 100 metres Backstroke,Bronze
Soviet Union,1988,Summer,Swimming,Swimming Men's 200 metres Backstroke,Gold
Soviet Union,1988,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
Greece,2004,Summer,Rowing,Rowing Men's Lightweight Double Sculls,Bronze
Greece,2008,Summer,Rowing,Rowing Men's Lightweight Double Sculls,Silver
Russia,2008,Summer,Handball,Handball Women's Handball,Silver
Soviet Union,1968,Summer,Basketball,Basketball Men's Basketball,Bronze
Soviet Union,1972,Summer,Basketball,Basketball Men's Basketball,Gold
Royal Club Nautique de Gand,1908,Summer,Rowing,Rowing Men's Coxed Eights,Silver
Jamaica,2000,Summer,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
Belarus,2012,Summer,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze
Italy,2016,Summer,Water Polo,Water Polo Women's Water Polo,Silver
Italy,1992,Summer,Water Polo,Water Polo Men's Water Polo,Gold
Italy,1996,Summer,Water Polo,Water Polo Men's Water Polo,Bronze
Germany,1956,Summer,Cycling,"Cycling Men's Road Race, Team",Bronze
East Germany,1972,Summer,Football,Football Men's Football,Bronze
Soviet Union,1988,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
Mexico,2012,Summer,Football,Football Men's Football,Gold
United States,2008,Summer,Basketball,Basketball Women's Basketball,Gold
Thailand,2012,Summer,Boxing,Boxing Men's Light-Flyweight,Silver
Russia,2012,Summer,Basketball,Basketball Men's Basketball,Bronze
Thailand,2000,Summer,Boxing,Boxing Men's Flyweight,Gold
Soviet Union-2,1984,Winter,Figure Skating,Figure Skating Mixed Ice Dancing,Bronze
Soviet Union-2,1988,Winter,Figure Skating,Figure Skating Mixed Ice Dancing,Silver
Unified Team-1,1992,Winter,Figure Skating,Figure Skating Mixed Ice Dancing,Gold
Soviet Union,1988,Summer,Football,Football Men's Football,Gold
Romania,2004,Summer,Gymnastics,Gymnastics Women's Team All-Around,Gold
Romania,2004,Summer,Gymnastics,Gymnastics Women's Floor Exercise,Gold
Romania,2004,Summer,Gymnastics,Gymnastics Women's Balance Beam,Gold
Romania,2012,Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Romania,2012,Summer,Gymnastics,Gymnastics Women's Floor Exercise,Silver
Spain,2012,Summer,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
Netherlands,1976,Summer,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Silver
Canada,1984,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
Canada,1988,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
Canada,1992,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
Soviet Union,1968,Summer,Volleyball,Volleyball Women's Volleyball,Gold
Soviet Union,1972,Summer,Volleyball,Volleyball Women's Volleyball,Gold
United States,1964,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Bronze
Australia,1976,Summer,Hockey,Hockey Men's Hockey,Silver
Great Britain,2008,Summer,Cycling,Cycling Women's Individual Time Trial,Silver
Thailand,1976,Summer,Boxing,Boxing Men's Light-Flyweight,Bronze
Romania,1976,Summer,Fencing,"Fencing Men's Sabre, Team",Bronze
Romania,1984,Summer,Fencing,"Fencing Men's Sabre, Team",Bronze
Romania,1980,Summer,Volleyball,Volleyball Men's Volleyball,Bronze
Romania,2016,Summer,Fencing,"Fencing Women's epee, Team",Gold
Romania,1988,Summer,Gymnastics,Gymnastics Women's Team All-Around,Silver
Australia,1984,Summer,Rowing,Rowing Men's Coxed Eights,Bronze
Romania,2016,Summer,Rowing,Rowing Women's Coxed Eights,Bronze
United States,1920,Summer,Athletics,Athletics Men's Discus Throw,Bronze
United States,1932,Summer,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",Silver
Soviet Union,1964,Summer,Boxing,Boxing Men's Middleweight,Gold
Romania,2004,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Romania,1984,Summer,Rowing,Rowing Men's Coxed Pairs,Silver
Romania,1988,Summer,Rowing,Rowing Men's Coxed Fours,Silver
Romania,1992,Summer,Rowing,Rowing Men's Coxed Pairs,Bronze
Romania,1992,Summer,Rowing,Rowing Men's Coxed Fours,Gold
Romania,2000,Summer,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Bronze
Romania,2000,Summer,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
Romania,1968,Summer,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze
Romania,1984,Summer,Rowing,Rowing Women's Double Sculls,Gold
Romania,1996,Summer,Rowing,Rowing Women's Coxed Eights,Gold
Soviet Union,1968,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
Lithuania,2000,Summer,Rowing,Rowing Women's Double Sculls,Bronze
Belarus,2012,Summer,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze
Belarus,2016,Summer,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze
Soviet Union,1988,Winter,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Gold
Unified Team,1992,Winter,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Silver
Unified Team,1992,Summer,Swimming,Swimming Men's 50 metres Freestyle,Gold
Unified Team,1992,Summer,Swimming,Swimming Men's 100 metres Freestyle,Gold
Unified Team,1992,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
Unified Team,1992,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
Russia,1996,Summer,Swimming,Swimming Men's 50 metres Freestyle,Gold
Russia,1996,Summer,Swimming,Swimming Men's 100 metres Freestyle,Gold
Russia,1996,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
Russia,1996,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
Russia,2000,Summer,Swimming,Swimming Men's 100 metres Freestyle,Silver
Soviet Union,1964,Summer,Water Polo,Water Polo Men's Water Polo,Bronze
Soviet Union,1988,Summer,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
Russia,2000,Summer,Weightlifting,Weightlifting Women's Middleweight,Silver
Russia,2004,Summer,Weightlifting,Weightlifting Women's Heavyweight,Bronze
Yugoslavia,1984,Summer,Water Polo,Water Polo Men's Water Polo,Gold
Montenegro,2012,Summer,Handball,Handball Women's Handball,Silver
Yugoslavia,1972,Summer,Handball,Handball Men's Handball,Gold
Serbia,2016,Summer,Volleyball,Volleyball Women's Volleyball,Silver
Germany,2016,Summer,Football,Football Women's Football,Gold
Frankfurt Club,1900,Summer,Rugby,Rugby Men's Rugby,Silver
France,2000,Summer,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
Romania,1960,Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Yugoslavia,1928,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Finland,1920,Summer,Athletics,Athletics Men's Shot Put,Gold
Finland,1932,Summer,Athletics,Athletics Men's Hammer Throw,Silver
New Zealand,1924,Summer,Athletics,Athletics Men's 100 metres,Bronze
Italy,1908,Summer,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold
Argentina,2008,Summer,Basketball,Basketball Men's Basketball,Bronze
France,2016,Summer,Handball,Handball Men's Handball,Silver
United States,1948,Summer,Athletics,Athletics Men's 110 metres Hurdles,Gold
Australia,1956,Summer,Athletics,Athletics Men's High Jump,Silver
Great Britain,1912,Summer,Athletics,"Athletics Men's 3,000 metres, Team",Bronze
Canada,1992,Summer,Rowing,Rowing Men's Coxed Eights,Gold
Canada,1996,Summer,Rowing,Rowing Men's Single Sculls,Silver
Great Britain,1932,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
United States,1908,Summer,Athletics,Athletics Men's High Jump,Gold
Canada,1928,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Australia,2004,Summer,Basketball,Basketball Women's Basketball,Silver
Australia,2004,Summer,Softball,Softball Women's Softball,Silver
Australia,2008,Summer,Softball,Softball Women's Softball,Bronze
Great Britain,1924,Summer,Athletics,"Athletics Men's 3,000 metres, Team",Silver
France,1992,Summer,Handball,Handball Men's Handball,Bronze
Denmark,1998,Winter,Curling,Curling Women's Curling,Silver
Yugoslavia,1988,Summer,Handball,Handball Men's Handball,Bronze
Soviet Union,1980,Summer,Diving,Diving Men's Springboard,Gold
Soviet Union,1960,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
Soviet Union,1960,Summer,Gymnastics,Gymnastics Men's Horse Vault,Bronze
East Germany,1988,Summer,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
Germany,1992,Summer,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
Germany,1992,Summer,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
Germany,1996,Summer,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
Germany,1996,Summer,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
Poland,1968,Summer,Volleyball,Volleyball Women's Volleyball,Bronze
Australia,2000,Summer,Rowing,Rowing Men's Coxed Eights,Silver
Argentina,1924,Summer,Boxing,Boxing Men's Heavyweight,Bronze
Italy,1992,Summer,Water Polo,Water Polo Men's Water Polo,Gold
Italy,1992,Summer,Water Polo,Water Polo Men's Water Polo,Gold
Italy,2004,Summer,Rowing,Rowing Men's Coxless Fours,Bronze
Netherlands,1984,Summer,Hockey,Hockey Women's Hockey,Gold
Finland,2010,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
West Germany,1976,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
East Germany,1972,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
Russia,2004,Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
Russia,2008,Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
Yugoslavia,1988,Summer,Water Polo,Water Polo Men's Water Polo,Gold
Czechoslovakia,1968,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Czechoslovakia,1972,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Czechoslovakia,1976,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Czechoslovakia,1972,Summer,Handball,Handball Men's Handball,Silver
Czech Republic,2004,Summer,Athletics,Athletics Women's Discus Throw,Bronze
France,2008,Summer,Judo,Judo Women's Half-Heavyweight,Bronze
United States,2016,Summer,Cycling,Cycling Women's BMX,Silver
Hungary,1924,Summer,Fencing,"Fencing Men's Foil, Team",Bronze
Hungary,1924,Summer,Fencing,"Fencing Men's Sabre, Individual",Gold
Hungary,1924,Summer,Fencing,"Fencing Men's Sabre, Team",Silver
Great Britain-1,1908,Summer,Shooting,"Shooting Men's Trap, Team",Gold
Netherlands,1992,Summer,Volleyball,Volleyball Men's Volleyball,Silver
Netherlands,1996,Summer,Volleyball,Volleyball Men's Volleyball,Gold
Italy,1996,Summer,Water Polo,Water Polo Men's Water Polo,Bronze
Netherlands,1998,Winter,Speed Skating,"Speed Skating Men's 1,000 metres",Gold
Netherlands,1998,Winter,Speed Skating,"Speed Skating Men's 1,500 metres",Silver
Russia,2008,Summer,Handball,Handball Women's Handball,Silver
Soviet Union,1980,Summer,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Gold
Soviet Union,1980,Summer,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
Russia,2012,Summer,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",Gold
Soviet Union,1972,Summer,Sailing,Sailing Mixed One Person Dinghy,Bronze
Russia,2000,Summer,Volleyball,Volleyball Women's Volleyball,Silver
Romania,2004,Summer,Swimming,Swimming Women's 200 metres Freestyle,Gold
Australia,2008,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Bronze
Guyoni,1908,Summer,Sailing,Sailing Mixed 6 metres,Bronze
United States,2002,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Finland,2016,Summer,Boxing,Boxing Women's Lightweight,Bronze
Australia,2004,Summer,Basketball,Basketball Women's Basketball,Silver
Romania,1988,Summer,Gymnastics,Gymnastics Women's Team All-Around,Silver
Romania,1988,Summer,Gymnastics,Gymnastics Women's Horse Vault,Silver
Romania,1988,Summer,Gymnastics,Gymnastics Women's Balance Beam,Bronze
Romania,2004,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Czechoslovakia,1964,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
East Germany,1976,Summer,Shooting,"Shooting Mixed Free Pistol, 50 metres",Gold
Trans-Mississippi Golf Association-2,1904,Summer,Golf,Golf Men's Team,Silver
Great Britain,1984,Summer,Hockey,Hockey Men's Hockey,Bronze
Great Britain,1988,Summer,Hockey,Hockey Men's Hockey,Gold
United States,1976,Summer,Diving,Diving Women's Springboard,Bronze
Australia-1,1996,Summer,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Bronze
Australia-1,2000,Summer,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Gold
New Zealand,1988,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
Australia,2016,Summer,Archery,Archery Men's Team,Bronze
Great Britain,1912,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Great Britain,1912,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Germany,1952,Summer,Cycling,Cycling Men's Sprint,Bronze
East Germany,1980,Winter,Figure Skating,Figure Skating Women's Singles,Gold
France,2000,Summer,Gymnastics,Gymnastics Men's Pommelled Horse,Silver
France,1912,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Canada,2010,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
Canada,2014,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
United States,1992,Summer,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
United States,1976,Winter,Speed Skating,"Speed Skating Women's 1,000 metres",Silver
United States,1980,Winter,Speed Skating,Speed Skating Women's 500 metres,Silver
United States,1980,Winter,Speed Skating,"Speed Skating Women's 1,000 metres",Silver
Cuba,2000,Summer,Judo,Judo Men's Extra-Lightweight,Bronze
White Lady,1964,Summer,Sailing,Sailing Mixed Three Person Keelboat,Gold
Denmark,2008,Summer,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
Denmark,1996,Summer,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
Great Britain,1912,Summer,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Bronze
Great Britain,1912,Summer,Shooting,"Shooting Men's Dueling Pistol, 30 metres, Team",Bronze
Canada,2002,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
Canada,2006,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
Finland,1956,Summer,Rowing,Rowing Men's Coxed Fours,Bronze
Finland,2006,Winter,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Silver
Czechoslovakia,1976,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Soviet Union,1988,Summer,Athletics,Athletics Men's High Jump,Bronze
Russia,2004,Summer,Boxing,Boxing Men's Super-Heavyweight,Gold
Ukraine,2012,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
Jamaica,2016,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
New Zealand,2012,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
Cambridge University Boat Club-2,1908,Summer,Rowing,Rowing Men's Coxed Eights,Bronze
United States,1976,Summer,Athletics,Athletics Men's Discus Throw,Bronze
United States,1984,Summer,Athletics,Athletics Men's Discus Throw,Bronze
United States,1988,Summer,Athletics,Athletics Men's Long Jump,Silver
United States,1992,Summer,Athletics,Athletics Men's Long Jump,Silver
Australia,1996,Summer,Hockey,Hockey Women's Hockey,Gold
Australia,2000,Summer,Hockey,Hockey Women's Hockey,Gold
Australia,1996,Summer,Hockey,Hockey Women's Hockey,Gold
Australia,2000,Summer,Hockey,Hockey Women's Hockey,Gold
Ireland-2,1908,Summer,Hockey,Hockey Men's Hockey,Silver
Australia,1960,Summer,Athletics,"Athletics Men's 10,000 metres",Bronze
United States,2008,Summer,Water Polo,Water Polo Men's Water Polo,Silver
United States,1984,Summer,Volleyball,Volleyball Men's Volleyball,Gold
United States,1998,Winter,Snowboarding,Snowboarding Men's Halfpipe,Bronze
United States,2002,Winter,Snowboarding,Snowboarding Men's Halfpipe,Gold
Devon and Somerset Wanderers,1900,Summer,Cricket,Cricket Men's Cricket,Gold
Austria,1936,Summer,Handball,Handball Men's Handball,Silver
New Zealand,2012,Summer,Sailing,Sailing Women's Two Person Dinghy,Gold
New Zealand,2016,Summer,Sailing,Sailing Women's Two Person Dinghy,Silver
United States,1928,Summer,Diving,Diving Women's Springboard,Silver
United States,1932,Summer,Diving,Diving Women's Platform,Gold
United States,1936,Summer,Diving,Diving Women's Springboard,Bronze
United States,1936,Summer,Diving,Diving Women's Platform,Gold
Finland,1960,Winter,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
Finland,1964,Winter,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
Unified Team,1992,Summer,Fencing,"Fencing Men's Sabre, Team",Gold
Russia,1996,Summer,Fencing,"Fencing Men's Sabre, Individual",Gold
Russia,1996,Summer,Fencing,"Fencing Men's Sabre, Team",Gold
Russia,2000,Summer,Fencing,"Fencing Men's Sabre, Team",Gold
Russia,2004,Summer,Fencing,"Fencing Men's Sabre, Team",Bronze
Russia,2004,Summer,Fencing,"Fencing Men's Foil, Team",Bronze
Russia,2008,Summer,Diving,Diving Women's Synchronized Springboard,Silver
Soviet Union,1968,Summer,Boxing,Boxing Men's Light-Heavyweight,Gold
Italy,2004,Summer,Basketball,Basketball Men's Basketball,Silver
Canada,1988,Summer,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
Brazil,2008,Summer,Sailing,Sailing Men's Two Person Keelboat,Silver
Brazil,2012,Summer,Sailing,Sailing Men's Two Person Keelboat,Bronze
Brazil,1984,Summer,Swimming,Swimming Men's 400 metres Individual Medley,Silver
Thailand,2004,Summer,Boxing,Boxing Men's Middleweight,Bronze
Australia,2012,Summer,Rowing,Rowing Women's Double Sculls,Silver
United States,1900,Summer,Golf,Golf Women's Individual,Bronze
Canada,1932,Summer,Rowing,Rowing Men's Double Sculls,Bronze
Austria,1952,Winter,Alpine Skiing,Alpine Skiing Men's Downhill,Bronze
Austria,1952,Winter,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Silver
Czechoslovakia,1924,Summer,Gymnastics,Gymnastics Men's Individual All-Around,Silver
Czechoslovakia,1924,Summer,Gymnastics,Gymnastics Men's Parallel Bars,Silver
Czechoslovakia,1924,Summer,Gymnastics,Gymnastics Men's Rings,Silver
France,1928,Summer,Rowing,Rowing Men's Coxed Pairs,Silver
Great Britain,1984,Summer,Hockey,Hockey Men's Hockey,Bronze
Romania,1980,Summer,Rowing,Rowing Women's Coxed Eights,Bronze
Russia,1996,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
Austria,1968,Winter,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Bronze
East Germany,1988,Summer,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
Ghana,1992,Summer,Football,Football Men's Football,Bronze
Canada,2004,Summer,Cycling,"Cycling Women's Mountainbike, Cross-Country",Silver
Italy,2012,Summer,Water Polo,Water Polo Men's Water Polo,Silver
United States,2016,Summer,Swimming,Swimming Men's 200 metres Breaststroke,Silver
Soviet Union,1980,Summer,Rowing,Rowing Women's Coxed Eights,Silver
Romania,2000,Summer,Gymnastics,Gymnastics Women's Team All-Around,Gold
Italy,2012,Summer,Water Polo,Water Polo Men's Water Polo,Silver
Italy,2016,Summer,Water Polo,Water Polo Men's Water Polo,Bronze
Italy,2016,Summer,Water Polo,Water Polo Men's Water Polo,Bronze
Yugoslavia,1988,Summer,Rowing,Rowing Men's Coxless Pairs,Bronze
Soviet Union,1960,Summer,Athletics,Athletics Women's 80 metres Hurdles,Gold
Soviet Union,1964,Summer,Athletics,Athletics Women's Pentathlon,Gold
Soviet Union,1960,Summer,Athletics,Athletics Women's Shot Put,Gold
Soviet Union,1960,Summer,Athletics,Athletics Women's Discus Throw,Silver
Soviet Union,1964,Summer,Athletics,Athletics Women's Shot Put,Gold
